class,decay_time,rise_time,peak_flux,peak_time,start_time,end_time
A,3603.0,741.0,94.3564224243164,7406,102563465.95741406,102567809.95741406
Subclass,378.0,430.0,44.81324005126953,23535,102579905.95741406,102580713.95741406
A,2139.0,417.0,116.46862030029297,27202,102583585.95741406,102586141.95741406
Subclass,2264.0,2011.0,56.717105865478516,59032,102613838.95741406,102618113.95741406
