class,decay_time,rise_time,peak_flux,peak_time,start_time,end_time
A,10196.0,-3193.0,779.989990234375,10568,14467.0,21470.0
A,2195.0,551.0,1392.655517578125,19046,19888.0,22634.0
A,7796.0,2734.0,3162.04833984375,22312,20971.0,31501.0
